Subtheme Pair,Parent Themes,Subtheme A,Subtheme B,Parent Theme A,Parent Theme B,Number of Job Postings,% Jobs
DevOps and CI/CD + Testing and Quality Assurance,"Cloud, DevOps, and Security + Software Engineering and Architecture",DevOps and CI/CD,Testing and Quality Assurance,"Cloud, DevOps, and Security",Software Engineering and Architecture,1239,36.8
Backend and API Development + Project Management and Agile Practices,"Application and Web Development + Product, Project, and Professional Skills",Backend and API Development,Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",1232,36.6
DevOps and CI/CD + Programming Languages and Paradigms,"Cloud, DevOps, and Security + Software Engineering and Architecture",DevOps and CI/CD,Programming Languages and Paradigms,"Cloud, DevOps, and Security",Software Engineering and Architecture,1231,36.5
Data Platforms and Databases + Software Development Process and Practices,"Data, AI, and Analytics + Software Engineering and Architecture",Data Platforms and Databases,Software Development Process and Practices,"Data, AI, and Analytics",Software Engineering and Architecture,1202,35.7
Business and Product Skills + DevOps and CI/CD,"Product, Project, and Professional Skills + Cloud, DevOps, and Security",Business and Product Skills,DevOps and CI/CD,"Product, Project, and Professional Skills","Cloud, DevOps, and Security",1172,34.8
Project Management and Agile Practices + Testing and Quality Assurance,"Product, Project, and Professional Skills + Software Engineering and Architecture",Project Management and Agile Practices,Testing and Quality Assurance,"Product, Project, and Professional Skills",Software Engineering and Architecture,1171,34.8
General Professional Skills and Soft Skills + UI/UX Design and Accessibility,"Product, Project, and Professional Skills + Application and Web Development",General Professional Skills and Soft Skills,UI/UX Design and Accessibility,"Product, Project, and Professional Skills",Application and Web Development,1160,34.4
Documentation and Communication + Software Architecture and System Design,"Product, Project, and Professional Skills + Software Engineering and Architecture",Documentation and Communication,Software Architecture and System Design,"Product, Project, and Professional Skills",Software Engineering and Architecture,1148,34.1
Backend and API Development + Documentation and Communication,"Application and Web Development + Product, Project, and Professional Skills",Backend and API Development,Documentation and Communication,Application and Web Development,"Product, Project, and Professional Skills",1146,34.0
"General Professional Skills and Soft Skills + Systems, Networking, and Administration","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",General Professional Skills and Soft Skills,"Systems, Networking, and Administration","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",1143,33.9
Data Platforms and Databases + Software Architecture and System Design,"Data, AI, and Analytics + Software Engineering and Architecture",Data Platforms and Databases,Software Architecture and System Design,"Data, AI, and Analytics",Software Engineering and Architecture,1132,33.6
Business and Product Skills + Frontend Web Development,"Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,Frontend Web Development,"Product, Project, and Professional Skills",Application and Web Development,1126,33.4
Cloud Platforms and Services + Programming Languages and Paradigms,"Cloud, DevOps, and Security + Software Engineering and Architecture",Cloud Platforms and Services,Programming Languages and Paradigms,"Cloud, DevOps, and Security",Software Engineering and Architecture,1118,33.2
Programming Languages and Paradigms + Project Management and Agile Practices,"Software Engineering and Architecture + Product, Project, and Professional Skills",Programming Languages and Paradigms,Project Management and Agile Practices,Software Engineering and Architecture,"Product, Project, and Professional Skills",1103,32.7
Business and Product Skills + Cloud Platforms and Services,"Product, Project, and Professional Skills + Cloud, DevOps, and Security",Business and Product Skills,Cloud Platforms and Services,"Product, Project, and Professional Skills","Cloud, DevOps, and Security",1081,32.1
"Security, Authentication, and Compliance + Software Development Process and Practices","Cloud, DevOps, and Security + Software Engineering and Architecture","Security, Authentication, and Compliance",Software Development Process and Practices,"Cloud, DevOps, and Security",Software Engineering and Architecture,1073,31.8
DevOps and CI/CD + Project Management and Agile Practices,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",DevOps and CI/CD,Project Management and Agile Practices,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",1069,31.7
DevOps and CI/CD + Frontend Web Development,"Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,Frontend Web Development,"Cloud, DevOps, and Security",Application and Web Development,1059,31.4
Documentation and Communication + Testing and Quality Assurance,"Product, Project, and Professional Skills + Software Engineering and Architecture",Documentation and Communication,Testing and Quality Assurance,"Product, Project, and Professional Skills",Software Engineering and Architecture,1059,31.4
Domain and Industry Knowledge + Software Development Process and Practices,"Product, Project, and Professional Skills + Software Engineering and Architecture",Domain and Industry Knowledge,Software Development Process and Practices,"Product, Project, and Professional Skills",Software Engineering and Architecture,1048,31.1
Documentation and Communication + Programming Languages and Paradigms,"Product, Project, and Professional Skills + Software Engineering and Architecture",Documentation and Communication,Programming Languages and Paradigms,"Product, Project, and Professional Skills",Software Engineering and Architecture,1029,30.5
Frontend Web Development + Testing and Quality Assurance,Application and Web Development + Software Engineering and Architecture,Frontend Web Development,Testing and Quality Assurance,Application and Web Development,Software Engineering and Architecture,1026,30.5
"Security, Authentication, and Compliance + Software Architecture and System Design","Cloud, DevOps, and Security + Software Engineering and Architecture","Security, Authentication, and Compliance",Software Architecture and System Design,"Cloud, DevOps, and Security",Software Engineering and Architecture,1026,30.5
Frontend Web Development + Programming Languages and Paradigms,Application and Web Development + Software Engineering and Architecture,Frontend Web Development,Programming Languages and Paradigms,Application and Web Development,Software Engineering and Architecture,1024,30.4
Business and Product Skills + Data Platforms and Databases,"Product, Project, and Professional Skills + Data, AI, and Analytics",Business and Product Skills,Data Platforms and Databases,"Product, Project, and Professional Skills","Data, AI, and Analytics",1006,29.9
Data Platforms and Databases + Programming Languages and Paradigms,"Data, AI, and Analytics + Software Engineering and Architecture",Data Platforms and Databases,Programming Languages and Paradigms,"Data, AI, and Analytics",Software Engineering and Architecture,1006,29.9
Cloud Platforms and Services + Testing and Quality Assurance,"Cloud, DevOps, and Security + Software Engineering and Architecture",Cloud Platforms and Services,Testing and Quality Assurance,"Cloud, DevOps, and Security",Software Engineering and Architecture,999,29.7
Frontend Web Development + Project Management and Agile Practices,"Application and Web Development + Product, Project, and Professional Skills",Frontend Web Development,Project Management and Agile Practices,Application and Web Development,"Product, Project, and Professional Skills",996,29.6
Data Platforms and Databases + DevOps and CI/CD,"Data, AI, and Analytics + Cloud, DevOps, and Security",Data Platforms and Databases,DevOps and CI/CD,"Data, AI, and Analytics","Cloud, DevOps, and Security",986,29.3
Cloud Platforms and Services + Data Platforms and Databases,"Cloud, DevOps, and Security + Data, AI, and Analytics",Cloud Platforms and Services,Data Platforms and Databases,"Cloud, DevOps, and Security","Data, AI, and Analytics",977,29.0
Data Platforms and Databases + Frontend Web Development,"Data, AI, and Analytics + Application and Web Development",Data Platforms and Databases,Frontend Web Development,"Data, AI, and Analytics",Application and Web Development,973,28.9
Software Development Process and Practices + UI/UX Design and Accessibility,Software Engineering and Architecture + Application and Web Development,Software Development Process and Practices,UI/UX Design and Accessibility,Software Engineering and Architecture,Application and Web Development,966,28.7
Cloud Platforms and Services + Frontend Web Development,"Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,Frontend Web Development,"Cloud, DevOps, and Security",Application and Web Development,965,28.6
DevOps and CI/CD + Documentation and Communication,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",DevOps and CI/CD,Documentation and Communication,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",959,28.5
Data Platforms and Databases + Testing and Quality Assurance,"Data, AI, and Analytics + Software Engineering and Architecture",Data Platforms and Databases,Testing and Quality Assurance,"Data, AI, and Analytics",Software Engineering and Architecture,958,28.4
Cloud Platforms and Services + Project Management and Agile Practices,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Cloud Platforms and Services,Project Management and Agile Practices,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",952,28.3
Domain and Industry Knowledge + Software Architecture and System Design,"Product, Project, and Professional Skills + Software Engineering and Architecture",Domain and Industry Knowledge,Software Architecture and System Design,"Product, Project, and Professional Skills",Software Engineering and Architecture,941,27.9
Software Architecture and System Design + UI/UX Design and Accessibility,Software Engineering and Architecture + Application and Web Development,Software Architecture and System Design,UI/UX Design and Accessibility,Software Engineering and Architecture,Application and Web Development,939,27.9
"Software Development Process and Practices + Systems, Networking, and Administration","Software Engineering and Architecture + Infrastructure, Systems, and Reliability",Software Development Process and Practices,"Systems, Networking, and Administration",Software Engineering and Architecture,"Infrastructure, Systems, and Reliability",939,27.9
"Backend and API Development + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security",Backend and API Development,"Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",920,27.3
Documentation and Communication + Frontend Web Development,"Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,Frontend Web Development,"Product, Project, and Professional Skills",Application and Web Development,906,26.9
Domain and Industry Knowledge + Programming Languages and Paradigms,"Product, Project, and Professional Skills + Software Engineering and Architecture",Domain and Industry Knowledge,Programming Languages and Paradigms,"Product, Project, and Professional Skills",Software Engineering and Architecture,906,26.9
"Business and Product Skills + Security, Authentication, and Compliance","Product, Project, and Professional Skills + Cloud, DevOps, and Security",Business and Product Skills,"Security, Authentication, and Compliance","Product, Project, and Professional Skills","Cloud, DevOps, and Security",901,26.7
Data Platforms and Databases + Project Management and Agile Practices,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Platforms and Databases,Project Management and Agile Practices,"Data, AI, and Analytics","Product, Project, and Professional Skills",887,26.3
Backend and API Development + Domain and Industry Knowledge,"Application and Web Development + Product, Project, and Professional Skills",Backend and API Development,Domain and Industry Knowledge,Application and Web Development,"Product, Project, and Professional Skills",881,26.2
Cloud Platforms and Services + Documentation and Communication,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Cloud Platforms and Services,Documentation and Communication,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",876,26.0
"Programming Languages and Paradigms + Security, Authentication, and Compliance","Software Engineering and Architecture + Cloud, DevOps, and Security",Programming Languages and Paradigms,"Security, Authentication, and Compliance",Software Engineering and Architecture,"Cloud, DevOps, and Security",875,26.0
Domain and Industry Knowledge + Testing and Quality Assurance,"Product, Project, and Professional Skills + Software Engineering and Architecture",Domain and Industry Knowledge,Testing and Quality Assurance,"Product, Project, and Professional Skills",Software Engineering and Architecture,857,25.4
Analytics and Business Intelligence + General Professional Skills and Soft Skills,"Data, AI, and Analytics + Product, Project, and Professional Skills",Analytics and Business Intelligence,General Professional Skills and Soft Skills,"Data, AI, and Analytics","Product, Project, and Professional Skills",848,25.2
AI/ML and LLMs + General Professional Skills and Soft Skills,"Data, AI, and Analytics + Product, Project, and Professional Skills",AI/ML and LLMs,General Professional Skills and Soft Skills,"Data, AI, and Analytics","Product, Project, and Professional Skills",839,24.9
"Education, Degrees, and Certifications + Software Development Process and Practices","Product, Project, and Professional Skills + Software Engineering and Architecture","Education, Degrees, and Certifications",Software Development Process and Practices,"Product, Project, and Professional Skills",Software Engineering and Architecture,828,24.6
"Security, Authentication, and Compliance + Testing and Quality Assurance","Cloud, DevOps, and Security + Software Engineering and Architecture","Security, Authentication, and Compliance",Testing and Quality Assurance,"Cloud, DevOps, and Security",Software Engineering and Architecture,826,24.5
Business and Product Skills + UI/UX Design and Accessibility,"Product, Project, and Professional Skills + Application and Web Development",Business and Product Skills,UI/UX Design and Accessibility,"Product, Project, and Professional Skills",Application and Web Development,825,24.5
"Software Architecture and System Design + Systems, Networking, and Administration","Software Engineering and Architecture + Infrastructure, Systems, and Reliability",Software Architecture and System Design,"Systems, Networking, and Administration",Software Engineering and Architecture,"Infrastructure, Systems, and Reliability",825,24.5
Data Platforms and Databases + Documentation and Communication,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Platforms and Databases,Documentation and Communication,"Data, AI, and Analytics","Product, Project, and Professional Skills",800,23.7
"Programming Languages and Paradigms + Systems, Networking, and Administration","Software Engineering and Architecture + Infrastructure, Systems, and Reliability",Programming Languages and Paradigms,"Systems, Networking, and Administration",Software Engineering and Architecture,"Infrastructure, Systems, and Reliability",781,23.2
DevOps and CI/CD + Domain and Industry Knowledge,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",DevOps and CI/CD,Domain and Industry Knowledge,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",773,22.9
Containers and Orchestration + General Professional Skills and Soft Skills,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Containers and Orchestration,General Professional Skills and Soft Skills,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",770,22.9
"Business and Product Skills + Systems, Networking, and Administration","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Business and Product Skills,"Systems, Networking, and Administration","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",768,22.8
"Backend and API Development + Systems, Networking, and Administration","Application and Web Development + Infrastructure, Systems, and Reliability",Backend and API Development,"Systems, Networking, and Administration",Application and Web Development,"Infrastructure, Systems, and Reliability",767,22.8
General Professional Skills and Soft Skills + Scripting and Automation Tools,"Product, Project, and Professional Skills + Software Engineering and Architecture",General Professional Skills and Soft Skills,Scripting and Automation Tools,"Product, Project, and Professional Skills",Software Engineering and Architecture,757,22.5
"Project Management and Agile Practices + Security, Authentication, and Compliance","Product, Project, and Professional Skills + Cloud, DevOps, and Security",Project Management and Agile Practices,"Security, Authentication, and Compliance","Product, Project, and Professional Skills","Cloud, DevOps, and Security",756,22.4
"Systems, Networking, and Administration + Testing and Quality Assurance","Infrastructure, Systems, and Reliability + Software Engineering and Architecture","Systems, Networking, and Administration",Testing and Quality Assurance,"Infrastructure, Systems, and Reliability",Software Engineering and Architecture,755,22.4
"DevOps and CI/CD + Systems, Networking, and Administration","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",DevOps and CI/CD,"Systems, Networking, and Administration","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",752,22.3
Testing and Quality Assurance + UI/UX Design and Accessibility,Software Engineering and Architecture + Application and Web Development,Testing and Quality Assurance,UI/UX Design and Accessibility,Software Engineering and Architecture,Application and Web Development,744,22.1
"Education, Degrees, and Certifications + Software Architecture and System Design","Product, Project, and Professional Skills + Software Engineering and Architecture","Education, Degrees, and Certifications",Software Architecture and System Design,"Product, Project, and Professional Skills",Software Engineering and Architecture,723,21.5
"Documentation and Communication + Security, Authentication, and Compliance","Product, Project, and Professional Skills + Cloud, DevOps, and Security",Documentation and Communication,"Security, Authentication, and Compliance","Product, Project, and Professional Skills","Cloud, DevOps, and Security",711,21.1
Cloud Platforms and Services + Domain and Industry Knowledge,"Cloud, DevOps, and Security + Product, Project, and Professional Skills",Cloud Platforms and Services,Domain and Industry Knowledge,"Cloud, DevOps, and Security","Product, Project, and Professional Skills",704,20.9
Programming Languages and Paradigms + UI/UX Design and Accessibility,Software Engineering and Architecture + Application and Web Development,Programming Languages and Paradigms,UI/UX Design and Accessibility,Software Engineering and Architecture,Application and Web Development,703,20.9
Data Engineering and Big Data + General Professional Skills and Soft Skills,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Engineering and Big Data,General Professional Skills and Soft Skills,"Data, AI, and Analytics","Product, Project, and Professional Skills",699,20.7
"Education, Degrees, and Certifications + Programming Languages and Paradigms","Product, Project, and Professional Skills + Software Engineering and Architecture","Education, Degrees, and Certifications",Programming Languages and Paradigms,"Product, Project, and Professional Skills",Software Engineering and Architecture,699,20.7
"Backend and API Development + Education, Degrees, and Certifications","Application and Web Development + Product, Project, and Professional Skills",Backend and API Development,"Education, Degrees, and Certifications",Application and Web Development,"Product, Project, and Professional Skills",697,20.7
DevOps and CI/CD + UI/UX Design and Accessibility,"Cloud, DevOps, and Security + Application and Web Development",DevOps and CI/CD,UI/UX Design and Accessibility,"Cloud, DevOps, and Security",Application and Web Development,696,20.7
Project Management and Agile Practices + UI/UX Design and Accessibility,"Product, Project, and Professional Skills + Application and Web Development",Project Management and Agile Practices,UI/UX Design and Accessibility,"Product, Project, and Professional Skills",Application and Web Development,696,20.7
Analytics and Business Intelligence + Software Development Process and Practices,"Data, AI, and Analytics + Software Engineering and Architecture",Analytics and Business Intelligence,Software Development Process and Practices,"Data, AI, and Analytics",Software Engineering and Architecture,686,20.4
Domain and Industry Knowledge + Frontend Web Development,"Product, Project, and Professional Skills + Application and Web Development",Domain and Industry Knowledge,Frontend Web Development,"Product, Project, and Professional Skills",Application and Web Development,681,20.2
AI/ML and LLMs + Software Architecture and System Design,"Data, AI, and Analytics + Software Engineering and Architecture",AI/ML and LLMs,Software Architecture and System Design,"Data, AI, and Analytics",Software Engineering and Architecture,679,20.2
AI/ML and LLMs + Software Development Process and Practices,"Data, AI, and Analytics + Software Engineering and Architecture",AI/ML and LLMs,Software Development Process and Practices,"Data, AI, and Analytics",Software Engineering and Architecture,679,20.2
"Education, Degrees, and Certifications + Testing and Quality Assurance","Product, Project, and Professional Skills + Software Engineering and Architecture","Education, Degrees, and Certifications",Testing and Quality Assurance,"Product, Project, and Professional Skills",Software Engineering and Architecture,674,20.0
"Frontend Web Development + Security, Authentication, and Compliance","Application and Web Development + Cloud, DevOps, and Security",Frontend Web Development,"Security, Authentication, and Compliance",Application and Web Development,"Cloud, DevOps, and Security",672,19.9
Backend and API Development + Containers and Orchestration,"Application and Web Development + Cloud, DevOps, and Security",Backend and API Development,Containers and Orchestration,Application and Web Development,"Cloud, DevOps, and Security",662,19.6
"Cloud Platforms and Services + Systems, Networking, and Administration","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability",Cloud Platforms and Services,"Systems, Networking, and Administration","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",660,19.6
Containers and Orchestration + Software Architecture and System Design,"Cloud, DevOps, and Security + Software Engineering and Architecture",Containers and Orchestration,Software Architecture and System Design,"Cloud, DevOps, and Security",Software Engineering and Architecture,654,19.4
"General Professional Skills and Soft Skills + Monitoring, Observability, and SRE","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",General Professional Skills and Soft Skills,"Monitoring, Observability, and SRE","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",654,19.4
"Data Platforms and Databases + Security, Authentication, and Compliance","Data, AI, and Analytics + Cloud, DevOps, and Security",Data Platforms and Databases,"Security, Authentication, and Compliance","Data, AI, and Analytics","Cloud, DevOps, and Security",650,19.3
"Documentation and Communication + Systems, Networking, and Administration","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Documentation and Communication,"Systems, Networking, and Administration","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",639,19.0
General Professional Skills and Soft Skills + Microsoft .NET Development,"Product, Project, and Professional Skills + Application and Web Development",General Professional Skills and Soft Skills,Microsoft .NET Development,"Product, Project, and Professional Skills",Application and Web Development,639,19.0
Containers and Orchestration + Software Development Process and Practices,"Cloud, DevOps, and Security + Software Engineering and Architecture",Containers and Orchestration,Software Development Process and Practices,"Cloud, DevOps, and Security",Software Engineering and Architecture,635,18.8
Data Platforms and Databases + Domain and Industry Knowledge,"Data, AI, and Analytics + Product, Project, and Professional Skills",Data Platforms and Databases,Domain and Industry Knowledge,"Data, AI, and Analytics","Product, Project, and Professional Skills",633,18.8
Documentation and Communication + UI/UX Design and Accessibility,"Product, Project, and Professional Skills + Application and Web Development",Documentation and Communication,UI/UX Design and Accessibility,"Product, Project, and Professional Skills",Application and Web Development,629,18.7
Analytics and Business Intelligence + Business and Product Skills,"Data, AI, and Analytics + Product, Project, and Professional Skills",Analytics and Business Intelligence,Business and Product Skills,"Data, AI, and Analytics","Product, Project, and Professional Skills",627,18.6
"Project Management and Agile Practices + Systems, Networking, and Administration","Product, Project, and Professional Skills + Infrastructure, Systems, and Reliability",Project Management and Agile Practices,"Systems, Networking, and Administration","Product, Project, and Professional Skills","Infrastructure, Systems, and Reliability",627,18.6
AI/ML and LLMs + Backend and API Development,"Data, AI, and Analytics + Application and Web Development",AI/ML and LLMs,Backend and API Development,"Data, AI, and Analytics",Application and Web Development,626,18.6
"Domain and Industry Knowledge + Security, Authentication, and Compliance","Product, Project, and Professional Skills + Cloud, DevOps, and Security",Domain and Industry Knowledge,"Security, Authentication, and Compliance","Product, Project, and Professional Skills","Cloud, DevOps, and Security",617,18.3
"DevOps and CI/CD + Education, Degrees, and Certifications","Cloud, DevOps, and Security + Product, Project, and Professional Skills",DevOps and CI/CD,"Education, Degrees, and Certifications","Cloud, DevOps, and Security","Product, Project, and Professional Skills",612,18.2
Cloud Platforms and Services + UI/UX Design and Accessibility,"Cloud, DevOps, and Security + Application and Web Development",Cloud Platforms and Services,UI/UX Design and Accessibility,"Cloud, DevOps, and Security",Application and Web Development,602,17.9
Analytics and Business Intelligence + Software Architecture and System Design,"Data, AI, and Analytics + Software Engineering and Architecture",Analytics and Business Intelligence,Software Architecture and System Design,"Data, AI, and Analytics",Software Engineering and Architecture,595,17.7
"Security, Authentication, and Compliance + Systems, Networking, and Administration","Cloud, DevOps, and Security + Infrastructure, Systems, and Reliability","Security, Authentication, and Compliance","Systems, Networking, and Administration","Cloud, DevOps, and Security","Infrastructure, Systems, and Reliability",592,17.6
AI/ML and LLMs + Programming Languages and Paradigms,"Data, AI, and Analytics + Software Engineering and Architecture",AI/ML and LLMs,Programming Languages and Paradigms,"Data, AI, and Analytics",Software Engineering and Architecture,585,17.4
Backend and API Development + Data Engineering and Big Data,"Application and Web Development + Data, AI, and Analytics",Backend and API Development,Data Engineering and Big Data,Application and Web Development,"Data, AI, and Analytics",580,17.2
Data Engineering and Big Data + Software Architecture and System Design,"Data, AI, and Analytics + Software Engineering and Architecture",Data Engineering and Big Data,Software Architecture and System Design,"Data, AI, and Analytics",Software Engineering and Architecture,578,17.2
